,author,published,uploaded,likes,text
0,familia silva,2023-11-23T00:05:18Z,2023-11-23T00:05:18Z,0,Esse tipo de vestibular so vale pra modelo EAD? e se eu usar o presencial?
1,bheatriz barbara,2023-10-22T20:59:16Z,2023-10-22T20:59:16Z,2,"Fiz o vestibular em 2023 e passei, o tema era justamente esse ,da carta ao ministro pedindo atenção a mudanças a segurança nas escolas etc..<br>Passei, mas por forças maiores  acabei não matriculando na unip.<br><br>Agora em 2024 pretendo me matricular,  no caso preciso fazer novamente outro vestibular???"
2,B.Rafael,2023-10-02T12:04:27Z,2023-10-02T12:04:27Z,1,"Eu to terminando por matérias no interação,falta so 2 materias pra eu terminar,que vou fazer agora terça feira e na quarta faco a ultima prova ,ae ja vou fazer o vestibular pra começar ed.fisica"
3,Erick Mesquita,2023-05-28T15:39:54Z,2023-05-28T15:39:54Z,1,Eu queria saber se o vestibular tradicional a redação vai ser sempre dissertativa argumentativa ou pode mudar também?
4,Igor Gabriel ,2023-05-15T12:44:53Z,2023-05-15T12:44:53Z,0,"Se a pessoa fez o vestibular online, ela não precisa fazer um outro vestibular presencial também né? Só o online ja basta?"
5,Ana Marques,2023-02-18T03:34:03Z,2023-02-18T03:34:03Z,3,"uma dúvida, caso eu passe no vestibular online, ele da descontos na hora de pagar? tipo enem?<br>se não, pra que serveria o vestibular?<br>não é so pagar que vc pode estudar lá?"
6,Ian Lopes Antonello,2023-02-10T21:35:10Z,2023-02-10T21:35:10Z,0,É necessário fazer prova usando a nota do enem?
7,Jess,2023-02-09T20:46:58Z,2023-02-09T20:46:58Z,1,"Queria que alguém me explicasse como funciona a questão de presença na Unip, devo logar todos os dias? Ou não é necessário? Tem uma quantidade de horas por semana? Eu achei isso bem vago por conta da Unip"
8,Joana Gaieta,2023-02-06T23:14:14Z,2023-02-06T23:14:14Z,0,"Quero fazer vestibular online mais o curso vou fazer presencia, será que dá?"
9,Mäņø Břøțhëř,2023-01-30T01:07:11Z,2023-01-30T01:07:11Z,0,Preciso fazer cartao de entrada eles vao chamar ou tenho que ir la?
