,author,published,uploaded,likes,text
0,Estefany Pereira,2023-10-18T16:14:24Z,2023-10-18T16:14:24Z,1,Boa tarde! Sou nova na Unip e não estou familiarizada com a plataforma ainda. Vc poderia explicar oq é o fórum?
1,Evinha Silva,2023-10-04T02:35:52Z,2023-10-04T02:35:52Z,1,To fazendo fisioterapia na Unip EAD e não estou conseguindo conciliar os estudos 😢
2,Marcelo Ayres,2023-08-16T14:36:33Z,2023-08-16T14:36:33Z,1,"Obrigado pelo video, mas o que estou percebendo é que o meu curso (Nutrição) as video aula sao todas de 1h nao tem video aula menor, acho que é pela diferença de cursos."
3,Bia Lopes Ateliê,2023-06-13T19:58:11Z,2023-06-13T19:58:11Z,1,"E a Estácio de Sá ,o que acham?"
4,Daires Silva,2023-05-31T10:43:54Z,2023-05-31T10:43:54Z,3,a únip tem muita burocracia mesmo estou sentido na pele deixam a deseja em uma boa explicação se eu não tivesse ido atrás para saber o que era pin e atividade complementar estava lascada porque não falaram a respeito foram falar ja no final do bimestre iria fica muita coisa acomulada tinha uma moça que ja estava terminando o curso nunca tinha feito nenhum pin nem atividade complementar iria ter que reabre de novo so para fazer os pin e as atividades por peço que fiquem atentos galeram sempre coura atrás da suas dúvidas principalmente quem está no começo
5,Eliane Maria Ferreira,2023-04-18T14:18:50Z,2023-04-18T14:18:50Z,1,Eu nunca sei oq é mais importante pra anotar 🥲
6,Fabiana Araújo,2023-03-19T00:01:14Z,2023-03-19T00:01:14Z,5,"Não indico a Unip a ninguém, se não faltasse pouco para me formar, trocaria de faculdade. Atendimento do polo muito ruim, uma verdadeira burocracia pra conseguir fazer estágio. Enfim, Unip nunca mais"
7,Rodrigo,2023-03-03T14:48:03Z,2023-03-03T14:48:03Z,1,Eles disponibilizam material em meio físico?
8,Tiny_clawd,2022-10-06T20:39:50Z,2022-10-06T20:39:50Z,1,"Moça me ajuda por favor eu tirei como media 4,55 em uma disciplina é possivel tirar acima de 5 ou da pra mim passar com essa nota? Estou com medo nao quero reprovar e ficar de dp"
9,REGINA LIBERATO,2022-09-01T02:27:15Z,2022-09-01T02:27:15Z,2,"Olá Sarah, gostei muito do seu vídeo, me ajudou bastante,estou no segundo semestre de pedagogia,ainda estou um pouco perdidas, me sinto só,<br>Como participar do grupo , se e que tem, já perguntei mas ninguém respondeu na outra disciplina."
