,author,published,uploaded,likes,text
0,Bodenazzo Bodenazzo,2022-06-22T19:35:42Z,2022-06-22T19:35:42Z,19,"Desculpa mas o que vc está falando não condiz com a realidade.  As provas estao sim a nível de concurso e dificílima. Porém a grande maioria dos alunos são pessoas que já passaram dos 30 anos,  trabalham o dia todo, tem casa e filhos pra cuidar. Não é coerente a unip aplicar este tipo de prova. O que nos parece é que são propositalmente para que o aluno reprove e pague pra fazer a disciplina novamente.  Não tem nada a ver com os conteúdos do livro texto e vídeo aula e posso provar isso. Tirei foto das provas para conferir com o conteúdo do material e não tem nada a ver."
1,Duda,2022-06-20T14:26:18Z,2022-06-20T14:26:47Z,2,"As provas são fáceis para quem ler e aprende o livro texto completo!As discursivas ajudam demais porque dá metade da nota da <a href=""http://prova.no/"">prova.No</a> início é difícil se acostumar com o ensino a distância mas pega o jeito e fica fácil ,leiam os livros textos,a aula é o resumo do resumo,se vc assisti aula e faz prova obviamente vai acha difícil .Leia o livro texto e o saiba mais aprenda eles e isso vai te render boas notas."
2,Jaqueline Souza,2022-06-14T20:22:52Z,2022-06-14T20:22:52Z,1,Eu e minha sala estamos em estado de choque 😬🥺
3,Ed Masca38,2022-06-11T16:57:42Z,2022-06-11T16:57:42Z,6,"Não sei para que serve os textos e os videos aulas da Unip,  as provas presenciais são coladas de concursos públicos.  Acho que é  para o aluno não ter boas notas e passar anos pagando..."
4,Igor Rodrigues,2022-05-27T02:49:22Z,2022-05-27T02:51:00Z,1,quanto pesa a prova presencial pra matéria?quanto vale a prova...etc
5,Nayara Cintra,2022-05-25T11:46:23Z,2022-05-25T11:46:23Z,1,Olá tudo bem eu tenho uma dúvida quando não se passa na matéria online que a prova é feita no campus mesmo o exame será discursiva ou objetiva??
6,Sabrina Silva,2022-05-07T22:20:14Z,2022-05-07T22:20:14Z,1,Cadê o link
7,Josy Guimarães,2022-04-11T23:16:25Z,2022-04-11T23:16:25Z,12,"Ganhei uma bolsa pelo o Prouni em 2020, não tinha feito prova presencial ainda, devido a pandemia. Fui fazer as provas semana passada, sai de lá chorando, não estou brincando, eu entrei em pânico, me deu crise de ansiedade porque eu vi que nada do que eu estudei caiu nas provas."
8,Josy Guimarães,2022-04-11T23:14:45Z,2022-04-11T23:14:45Z,0,"Eu estava focando em assistir as vídeo aulas, lia os livros óbvio, porém, não focava neles 😓 fui super mal nas provas, estudei errado."
9,Carla Lima,2022-04-08T04:26:34Z,2022-04-13T09:19:00Z,3,"Ela está falando a vdd , hoje me assustei ao fazer minha prova , acredito que bombei , nada a ver com as aulas que assistimos nas  vídeo aulas"
