,author,published,uploaded,likes,text
0,Rudinir Sampaio cabral,2023-08-06T20:01:40Z,2023-08-06T20:01:40Z,1,Mais como fazer didático
1,Renata Vilela,2023-08-01T08:31:12Z,2023-08-01T08:31:12Z,1,"O professor que gagueja acaba atrapalhando um pouco, so pra adiantar vc vai ter criancas na sua sala que gagueja, ou com algum tipo de transtorno ,  entao vai se acostumando , ja que eles nao consegue controlar ,assisti o filme o primeiro da classe , tem muito a ensinar . E so uma dica 😊😉"
2,Eliana Pollido,2023-04-07T10:48:07Z,2023-04-07T10:48:07Z,1,"Alguem ja fez os estágios, e pode me ajuda?"
3,valeria Rosa,2023-02-21T03:38:21Z,2023-02-21T03:38:21Z,1,Quantas provas são feitas no semestre?
4,Eduarda Santos,2023-02-20T22:42:06Z,2023-02-20T22:42:06Z,6,"Acabei de passar no processo seletivo, tô muito ansiosa pra começar!😍🥺"
5,Jess,2023-02-09T20:51:03Z,2023-02-09T20:51:03Z,1,"Oiê, alguém me tira uma dúvida por favor? Como funciona a questão da presença na Unip? A contagem tem que ser feita todos os dias? Ou tem horas para fazer? Se tem que ser todos os dias como faço isso? Achei a Unip muito carente de informação"
6,Andrea Correia,2022-10-07T14:35:44Z,2022-10-07T14:35:44Z,1,Oi  tem aulas ao vivo e obrigatório assitir?
7,Tais Paez,2022-08-18T20:55:47Z,2022-08-18T20:55:47Z,1,"Vc foi muito sincera,eles ficam lendo mesmo ... achei super chato isso !"
8,Lindayane Santos,2022-08-13T20:09:03Z,2022-08-13T20:09:03Z,2,A Unip e uma boa faculdade para estudar ?as mensalidades são fixas ou aumenta todo ano ?
9,Rian Carvalho,2022-08-01T22:35:54Z,2022-08-01T22:35:54Z,1,"É pago isso, me ajudem aí?!😅"
