,author,published,uploaded,likes,text
0,Dr. Patricio C Costa,2023-08-13T01:23:25Z,2023-08-13T01:23:25Z,1,"Tenho uma pergunta Professor, todas as provas das matérias são totalmente on-line ?"
1,Rebeka Costa,2023-08-07T21:54:47Z,2023-08-07T21:54:47Z,1,"olá, a minha área do aluno não tem todas as opções do seu."
2,Pedro Cortes,2023-07-20T18:18:49Z,2023-07-20T18:18:49Z,1,"Oi,qual o percentual de aprovação em Ciencias Econômicas ?"
3,Play filmes e séries,2023-07-15T19:28:48Z,2023-07-15T19:28:48Z,1,Ola sou matrícula desde 2021 e meu portal do aluno é diferente do seu
4,Canal Vintage,2023-07-14T11:38:11Z,2023-07-14T11:38:11Z,1,"Oi, tudo bem? Essa aula inaugural é obrigatório ir no polo?"
5,Usha,2023-05-14T10:38:01Z,2023-05-14T10:38:01Z,1,apresentou muito bem<br>mas faltou abrir os livros e os conteúdos de aprendizagem
6,Rosanne Domingos,2023-05-01T17:45:30Z,2023-05-01T17:46:42Z,1,"Gente, eu tenho uma curiosidade, como que o aluno marca presença numa aula em um curso EAD? Se alguém puder responder eu agradeço! 🙂"
7,Rafael Santos,2023-04-28T22:28:42Z,2023-04-28T22:28:42Z,1,As aulas são ao vivo?
8,Jacqueline Gomes,2023-04-18T19:32:48Z,2023-04-18T19:32:48Z,2,"Por onde começa estudar?, Quais matérias primeiro ? Qual ordem ?"
9,Mayra R.,2023-04-06T20:13:56Z,2023-04-06T20:13:56Z,1,Boa noite! O que é o botão “marcar revista”? É apenas pra marcar o que eu fiz? Obrigada!
