,author,published,uploaded,likes,text
0,Bernardo Belicia,2023-03-19T01:30:24Z,2023-03-19T01:30:24Z,0,Faz na UNIP Campinas!
1,Kelyanne Mkt,2022-06-18T11:54:20Z,2022-06-18T11:54:20Z,0,Amo a unip❤
2,Maria Jose Alves da Silva Maria Alves,2022-05-24T11:21:32Z,2022-05-24T11:21:32Z,1,"Parabéns,sou UNIP estou muito feliz por esta divulgação muito bom"
3,Kelly ,2021-10-15T16:55:11Z,2021-10-15T16:55:11Z,6,"Gente, faço Contábeis em EAD na Unip e as vídeos aulas são antigas com conteúdos desatualizados, a comunicação entre o aluno e o pessoal da direção é muito demorado, eles me passaram a matrícula, senha e site não passaram mais nenhuma informação é desmotivador."
4,Cosme Santana,2021-01-29T14:53:31Z,2021-01-29T14:53:31Z,0,"Muito <a href=""http://bom.bom/"">bom.Bom</a> dia para todos !"
5,xxxx,2021-01-24T20:14:17Z,2021-01-24T20:14:17Z,0,Tenho uma bolsa velha aqui quer ? P q voces jovens desocupados nao vao trabalhar e pagar as contas seus cara de pau!!!!
6,Josenil Arruda,2020-12-09T09:58:32Z,2020-12-09T09:58:32Z,1,Quero q fale sobre a UFRPE
7,Eduarda Bozzato,2020-11-26T21:20:42Z,2020-11-26T21:20:42Z,0,Faz na Unip anchieta
8,Aline Gomes,2020-07-18T15:00:01Z,2020-07-18T15:00:01Z,2,Os horários matutino e noturno são divididos em dois? Por exemplo dois horários para o período noturno...
9,Bio BunHead,2020-07-09T23:44:53Z,2020-07-09T23:44:53Z,0,"mas gente vcs abrem com a unip paraíso, ai entra na vergueiro e depois volta pra paraíso rsrsrsrs"
