,author,published,uploaded,likes,text
0,CONTADOR MAURÍ,2023-11-25T11:14:07Z,2023-11-25T11:14:07Z,1,Qual o nota do pim para passar ? E se pegar dP do pim como faz ?
1,Johnny Coslop,2023-06-21T21:08:21Z,2023-06-21T21:08:21Z,0,Esses 10% eh mensal ou total tipo se a mensalidade eh exemplo 1000 eu pagaria 100 uma vez só?
2,Diego Fernando Pinto Vargas,2023-05-17T01:36:04Z,2023-05-17T01:36:04Z,1,"Eu peguei dp em estudos disciplinares desde o primer semestre e eu nao sei que isso minha nota media é 8,5 e estou no 4to semestre e hoje percebi que tenho DP em estudos disciplinares que é isso <br>Ajuda estou bravo"
3,jhonata j,2023-05-02T20:13:32Z,2023-05-02T20:13:32Z,3,e qual é a nota mínima pra passar direto?
4,andre ribeiro,2023-04-05T23:53:32Z,2023-04-05T23:53:32Z,3,"Esse regime tutelado e muito complicado, eles não explicar direito as coisas."
5,Nivaldo Silva,2023-03-09T15:37:42Z,2023-03-09T15:37:42Z,0,Alguém sabe me dizer se a unip reprova por faltas?
6,Tiago melo,2023-02-24T23:38:03Z,2023-02-24T23:38:03Z,3,"Olá, tenho uma dúvida sobre a DP<br>Se ficar reprovado em uma disciplina optativa, será cobrado essa disciplina no próximo semestre??"
7,Vivian Martins,2023-01-31T00:57:34Z,2023-01-31T00:57:34Z,0,Olá poderia me enformar se por exemplo : de mensalidade pago 300 reais aí fico de dp ou regime tutelado aí a mensalidade sobe ok 👍  DEPOIS DESSE PERÍODO DE DP E REGIME TUTELADO A MENSALIDADE VOLTA AO VALOR QUE ESTAVA ANTES AO NORMAL ? <br><br>APARECEU PRA MIM &quot; DICIPLINA SEM HORÁRIO &quot; NA HORA DA REMATRÍCULA O QUE QUER DIZER ISSO ?
8,Jadson Cazé,2022-12-19T10:39:34Z,2022-12-19T10:39:34Z,5,"Bom dia!<br>Minha dúvida é de como calcular a nota de uma DP, já que ela se desvincula do pim."
9,gloria falcao,2022-12-18T16:13:31Z,2022-12-18T16:13:31Z,1,"Não consegui concluir dois estágios,por problema nas documentações reenvie várias vezes e voltou,perdi a data ,e agora o que procede?por favor me ajuda estou cm muitas dúvidas,são pago pra reenviar?"
