,author,published,uploaded,likes,text
0,Tamyres Oliveira,2023-08-24T02:43:44Z,2023-08-24T02:43:44Z,1,E hj já formou ? Kk😊
1,Maria Rafaela de aguiar,2023-08-01T00:00:30Z,2023-08-01T00:00:30Z,1,O atendimento por whatsapp também é pessimo
2,Rosivaldo Tv,2023-07-09T20:54:19Z,2023-07-09T20:54:19Z,5,"sei bem isso , terminei o curso de direito na Unip paraíso esse semestre , a secretária, a tesouraria e coordenação são péssimas no atendimento ao aluno"
3,Fabiana Araújo,2023-03-19T00:06:31Z,2023-03-19T00:06:31Z,6,"Não recomendo a Unip, faço pedagogia EAD em Curitiba, muito ruim. Demora e má vontade no atendimento no polo, uma verdadeira burocracia pra conseguir um estágio. Enfim, Unip nunca mais."
4,Ryan Gomes,2023-02-10T09:28:56Z,2023-02-10T09:28:56Z,2,De que estado tu és?
5,Manuella c,2023-02-06T00:57:52Z,2023-02-06T00:57:52Z,1,Qual o nome dele?
6,Fran Rodrigues,2023-02-02T17:25:45Z,2023-02-02T17:25:45Z,1,O tcc é em grupo?
7,Rodolfo Lamim,2022-08-11T11:14:30Z,2022-08-11T11:14:30Z,2,"Rodolfinho e o Tom estão na Unip, Rodolfinho na Chácara Sto Antônio e o Tom no Tatuapé..."
8,DBOzinho10,2022-08-11T03:12:38Z,2022-08-11T03:12:38Z,2,Vai palmeiras
9,Jonathan Fernandes,2022-08-11T00:12:26Z,2022-08-11T00:12:26Z,1,kkkkkkkkkkkkkkkkk Mario Miranda
