,author,published,uploaded,likes,text
0,Larissa B. Siqueira,2023-11-23T14:34:37Z,2023-11-23T14:34:37Z,0,No manual para quem faz Licenciatura em letras não tem essas informações de como deve ser preenchido o plano de aulas. Dificulta muito pois temos  que procurar em vários lugares  inclusive YouTube para poder saber como preencher porque o próprio manual não é suficiente.
1,Joyce Fernanda,2023-11-15T18:44:20Z,2023-11-15T18:44:20Z,1,"Ola, caso eu não conseguir realizar o estágio na data que está informando,Fica pra outro bimestre?, No  caso tenho que enviar tudo até dia 02/12, mas tá difícil conseguir estágio ( Obrigatório)"
2,Juliana Cristina,2023-11-01T17:12:28Z,2023-11-01T17:12:28Z,1,"Quero passar aqui para agradecer imensamente, muito claro com as explicações e muito disposto a ajudar."
3,Jacqueline pasturczak,2023-10-31T03:33:30Z,2023-10-31T03:33:30Z,2,Polo? Tem algo especifico
4,Denise,2023-10-30T06:41:29Z,2023-10-30T06:41:29Z,1,"Olá, muito bom tê-lo para nos ajudar. Tenho uma dúvida, os estágios de educação infantil e fundamental tem subdivisões? Ex: Creche? Ou posso fazer 100 horas só na idade de 4 e 5 anos no caso da educação infantil?"
5,Rayane Oliveira,2023-10-29T20:22:23Z,2023-10-29T20:22:23Z,1,"Professor, boa tarde! <br>E se no caso a unip assinar o termo antes dos 15 dias uteis que eles dão de prazo para ser assinado.. Eu ja posso iniciar? <br>E essa parte da empresa deve ser preenchida pela diretora?"
6,LuizSantos04_,2023-10-25T17:50:44Z,2023-10-25T17:50:44Z,1,"Boa tarde professor!!<br>Sou estudante de adm no primeiro semestre, eu estou iniciando em um estágio em um banco, gostaria de saber <br>Adm tem estagio obrigatório? E se sim esse estágio se encaixa em qual? <br>Obrigatório ou não obrigatório? É tudo muito novo to bem perdido"
7,Joyce Fernanda Gomes da Silva,2023-10-24T10:53:40Z,2023-10-24T10:53:40Z,1,"Bom dia, Gostaria de saber se o Termo de Compromisso de estagio e para preencher no computador e enviar?"
8,Amanda Rocha.,2023-10-16T12:36:03Z,2023-10-16T12:36:03Z,1,"Oi, professor, bom dia tudo bem?<br>Sou estudante de pedagogia no polo ead de Itanhaém-Sp, estou no último semestre, e gostaria de saber como seria possivel fazer o aproveitamento das horas do Estágio não obrigatório, para o estágio obrigatório."
9,Nanda,2023-10-10T10:10:57Z,2023-10-10T10:10:57Z,1,"Obrigada, eu estava bem perdida"
