,author,published,uploaded,likes,text
0,Julius Souza,2023-10-24T20:36:33Z,2023-10-24T20:36:33Z,0,"Olá, alguém aí sabe me dizer sobre a Unip Análise e desenvolvimento de Sistemas se tem que fazer TCC?"
1,andre ribeiro,2023-08-24T15:44:14Z,2023-08-24T15:44:14Z,0,Eu queria saber se eles demorar pra emitir o diploma porque ja tem 1 mes o meu e pessoais de outraa faculdade ja saíram
2,Alexsandro Silva,2023-07-12T12:43:01Z,2023-07-12T12:43:01Z,0,Pior instituição para fazer especialização eles são mercenarios demais e a assistencia é zero. Decepção total.
3,João Pedro R. N. Araújo,2023-05-10T16:35:56Z,2023-05-10T16:35:56Z,0,as aulas ead começa em q mes?
4,Usha,2023-04-01T14:25:24Z,2023-04-01T14:25:24Z,1,"Sinceramente eu gosto de ava da unip, bastante conteúdo e tudo muito prático. Venho observando bastante e ao ava da unip e da uninter são uns dos melhores. Obrigado pelo seu canal, te acompanho a um bom tempo.❤"
5,Aida Lima,2023-02-24T20:58:48Z,2023-02-25T19:39:30Z,0,"Se vc não for esquerdista é melhor procurar outro lugar, principalmente se for estudar c a professor Sú.<br>Vc será disciplinado a odiar a direita, odiar policiais e certamente até o final do curso vai achar bem bacana a ideologia marxista de Lenin. Até lá vc certamente vai achar q o PT é a salvação p o Brasil mesmo q o Brasil esteja pior q a Venezuela.<br>ENTÃO FICA A DICA, VC QUER SER PENSADOR E FORMADOR DE OPINIÃO PRÓPRIA, OU PREFERE SER MILITANTE DE ESQUERDA?<br>O  q vc acha q acontece c um ser q convive c um determinado grupo e ouve constantemente a ideologia daquele grupo? Se ele n fizer um detox diário vai acabar crendo q &quot;paz, pão e água&quot; é o suficiente p viver. SÓ LEMBREM Q LENIN MATOU TODES OS Q NÃO ADERIRAM SUAS IDÉIAS MARXISTAS."
6,Herica Sousa,2023-02-15T23:53:32Z,2023-02-15T23:53:32Z,1,"Boa noite!Entre a Unip e a Anhembi Morumbi,qual escolher?"
7,Ezequiel Novaes,2022-10-27T22:55:47Z,2022-10-27T22:55:47Z,0,Tô em dúvida entre a UNIP ou UNINTER?
8,Pamella Figueiredo,2022-09-23T15:55:43Z,2022-09-23T15:55:43Z,1,Localizações péssimas pra quem mora no ABC e O flexibilidade nos horários
9,Pamella Figueiredo,2022-09-23T15:54:56Z,2022-09-23T15:54:56Z,1,"Curso de fisioterapia .<br>Horrível ,empurram conteúdo em vc como se fossemos um pen drive.<br>Muita teoria e pouquíssimas práticas <br>E pra mim não tem nada de semi presencial ou flex.<br>Já que as aulas uma vez por semana são aulas gravadas e da no mesmo assistir em casa."
