,author,published,uploaded,likes,text
0,Dri Sousa,2023-11-17T11:32:40Z,2023-11-17T11:32:40Z,0,"Bom dia professor, primeiro de tudo: Obrigada! Pelos conteúdos, você é excelente, como poucos. Tenho uma dúvida, sou ingressante de setembro 2020, consegui o local para fazer os estágios, mas vi que o primeiro estágio obrigatório em educação infantil, o pessoal fez a entrevista que valeu como estágio, consigo ainda fazer dessa maneira?"
1,Sidinha Belarmino,2023-11-11T01:23:44Z,2023-11-11T01:23:44Z,1,Onde tem aí supervisor a gente coloca o nome da diretora ou da professora da sala que estou estagiando
2,Milena,2023-11-09T00:30:36Z,2023-11-09T00:30:36Z,1,"e quando já terminei o estagio mas preciso preencher só que não lembro dos detalhes dos dias,o que fiz etc"
3,Julyana Silva Meneses,2023-10-25T14:59:46Z,2023-10-25T14:59:46Z,1,"Boa Tarde professor. Gostaria que me ajudasse com algumas questões:<br><br>Sou estudante de sociologia,  coloquei no meu TCE que a vigência do meu estágio é de 29/8/23 a 22/12/23.<br><br>Meu TCE agora que foi assinado pela Unip pois houve reprovação.  Vi no vídeo que devemos fazer a entrega de Estágio ( Relatório - empresa + Relatório- aluno + TCE )<br><br>1) Pelo período de vigência do meu estágio ser curto, eu já coloquei nesse TCE a data de início 29/8 e a data do fim do Estágio 22/12.<br> Nesse caso , como devo fazer a entrega de Estágio,  só 1 que precisa ? <br><br>E quando enviar? Já que o sistema unip permite o envio desses documentos até 2/12<br><br>Desde ja obrigada"
4,Julyana Silva Meneses,2023-10-24T20:51:22Z,2023-10-24T20:51:22Z,1,"Professor comecei meu estágio 29/08 . Prenchi o TCE e levei para a diretora assinar.  A unip reprovou nas análises.  Prenchi tudo novamente e levei para assinar.  <br>Só agora consegui a validação/ assinatura da unip no meu TCE ( para iniciar estágio)<br>  As horas feitas até agora 24/10, serão contadas?"
5,Julyana Silva Meneses,2023-10-24T14:52:45Z,2023-10-24T14:52:45Z,1,"Olá  professor , eu perguntei no atendimento da Unip, e eles me informaram que pode prencher a ficha meio de caneta/ de forma manuscrita.<br>   Já prenchi 5 fichas- meio dessa ai, só que não utilizando esse modelo da unip, eu fiz/criei no word colocando igual está na unip. Pode ser assim?? Pois não sabia que tinha que utilizar esse modelo que eles disponibilizam !!"
6,Alvaro Lopes,2023-10-22T17:52:15Z,2023-10-22T17:52:15Z,1,"<a href=""https://www.youtube.com/watch?v=bYTVcMf9hX0&amp;t=12m07s"">12:07</a> na hora da escola for me avaliar vai ser a caneta, mais a unip vai aceitar?? Se estiver feito de caneta??"
7,Maria Eduarda,2023-10-22T12:49:23Z,2023-10-22T12:50:00Z,0,Bom dia Evandro! me tira uma duvida:  De um estágio para o outro pode mudar o prefº. orientador?  Nos documentos que voltam assinados para a liberação dos estágios são eles que assinam?
8,Bianca Gonçalves,2023-10-20T01:06:06Z,2023-10-20T01:06:06Z,1,"Você ajuda demais professor, obrigada."
9,Diana Ramos,2023-10-17T22:39:37Z,2023-10-17T22:39:37Z,3,"Comecei o meu primeiro estágio agora professor, e está muito difícil, pois não sei como preencher os documentos e não tinha ninguém pra mim ajudar, mas graças á Deus consegui achar o vídeo do senhor, obrigada por nós ajudar,que Deus te abençoe 🙏🏻🙏🏻🙏🏻🙏🏻"
