,author,published,uploaded,likes,text
0,Pedro Henrique,2023-07-24T03:01:08Z,2023-07-24T03:01:08Z,0,Penso muito em entrar na Unip por falta de conhecimento em conseguir bolsas em instituições melhores
1,Gloria Gonçalves,2023-05-09T22:39:52Z,2023-05-09T22:39:52Z,0,"sou bolsista na unip de crateus CE, estou no 1º periodo de enfermagem, vi muita gente reclamando de não ter aulas praticas. E a faculdade disse que avisaria quando tivesse aulas praticas, queria saber se eu aparecer no polo tendo aula pratica da minha turma, mas a faculdade não avisar, eles vão me impedir de assistir a aula?"
2,Leonardo,2023-05-05T02:37:47Z,2023-05-05T02:37:47Z,1,Estou fazendo fisioterapia recentemente no polo da UNIP no prédio do Farias Brito aqui em Sobral-CE onde eu moro e ad aulas são semi presenciais segundo a gestão da faculdade o conteúdo teórico nos assistir na plataforma ead e o presencial no prático.<br><br>Obs: entrei pela a bolsa 100 pelo o Prouni
3,Daiane Larisse,2023-03-30T19:19:31Z,2023-03-30T19:19:31Z,1,Alguém tem informação sobre a unip de Salvador em Nazaré? Pretendo começar a cursar enfermagem semi presencial lá mas não sei se vale a pena.
4,Sabrinna Barbosa,2023-03-25T09:52:48Z,2023-03-25T09:53:06Z,6,"Quem tiver interesse em fazer curso na Uniplan, vou ser bem sincera NÃO FAÇAM, VÃO SE ARREPENDER PROFUNDAMENTE POR ISSO!!!!<br>O ensino de lá é uma bosta, odiei e estou tendo problemas seríssimo com a instituição, tô tendo crise de ansiedade com todo o transtorno que estou passando com eles. <br>Faculdade totalmente desorganizada, sem responsabilidade, sem estrutura, bom senso e sem compromisso nenhum com aluno!!!"
5,Luanne Emanuelly,2023-03-20T13:06:25Z,2023-03-20T13:06:25Z,0,"Eu realmente amei a sua explicação, mas a Unip deixa muito a desejar."
6,Luanne Emanuelly,2023-03-20T13:01:59Z,2023-03-20T13:01:59Z,1,"Estou pensando seriamente em entra na Unip, sou De Sergipe.<br>E a instituição mais próxima fica em Aracaju.<br>O preços está ótimo.<br>É semi presencial, não me sinto segura em participar de aulas onlines."
7,Alcione Souza,2023-03-06T13:08:24Z,2023-03-06T13:08:24Z,0,"Sou aluna PROUNI Uniplan-PE no curso de Pedagogia terminei ano passado,mas estou com matérias em aberto. Acontece que uma dessas matérias e a de estágio. O meu ponto é eu estou com um contrato para estágiar e preciso da assinatura da faculdade para levar para empresa e assim regularizar minha situação e poder receber minha bolsa, o que ocorreu e que a faculdade está se negando a assinar o contrato pois segundo eles eu não estou matriculada,embora eu esteja com uma declaração da faculdade informando que sou aluna da faculdade"
8,Rafael de Moraes,2023-03-04T02:45:34Z,2023-03-04T02:45:34Z,0,Enfermagem EAD na UNIPLAN simplesmente não presta!! Não percam o tempo de vcs e nem a bolsa prouni pra estudar nesse lixo.
9,Regiane,2023-02-12T21:27:14Z,2023-02-12T21:27:14Z,0,No 5 período totalmente EAD. Horrível 😔
