,author,published,uploaded,likes,text
0,Yasmin Jesus,2023-06-26T14:03:22Z,2023-06-26T14:03:22Z,0,"tirei 5 na prova + 4 no exame e 10 no AVA, dividi por 2 e deu 7... agora n sei se passei ou não kkkkkk"
1,Cleo A,2023-05-30T15:16:14Z,2023-05-30T15:16:14Z,0,No primeiro cálculo o que é esse 9? E pq divide por 10?
2,Maria Vitória,2023-04-26T17:15:27Z,2023-04-26T17:15:27Z,0,"Fiquei com 6,5 na média na upe,preciva de 7 . quanto preciso pra passar na final?"
3,Herick Silva,2022-12-22T01:16:13Z,2022-12-22T01:16:13Z,1,Muito obrigado!!! Passei de anoo.. Partiu 3 ano
4,helô lima silva lima,2022-12-13T16:42:13Z,2022-12-13T16:42:13Z,0,Muito bem explicado.<br>Parabéns!
5,Luiza braga,2022-06-24T20:02:54Z,2022-06-24T20:02:54Z,4,Entendi foi nada
6,ANA MAURA DE PAULA,2022-06-11T14:53:45Z,2022-06-11T14:53:45Z,0,Eu sou de licenciatura EaD e tenho nota de 1&quot;relatório&quot; de Física. Será que somo a nota da Prova x 9 + AVA + Relatório / 10 ??
7,vitutravels,2022-06-02T11:28:56Z,2022-06-02T11:28:56Z,2,"Estou com média de 6,3 final precisava ficar com 7 pra passar direto, preciso tirar quanto no exame?"
8,Raiane Silva,2022-04-08T22:33:27Z,2022-04-08T22:33:27Z,0,"Se a média for 4, quanto preciso tirar na np2 pra não fazer exame final?"
9,Julia Fatima,2021-05-26T20:45:04Z,2021-05-26T20:45:04Z,0,Eu estou cursando adm e fique na média 4 quanto eu preciso para fecha amedia na unip aqui bimestral é 7 queria saber quanto preciso para passa no exame
