,author,published,uploaded,likes,text
0,Cleriston Lima,2023-11-03T18:56:45Z,2023-11-03T18:56:45Z,0,Quando receber o diploma quem faz ead vem no diploma falando que e ead?
1,Alexia Christini,2023-07-27T23:26:20Z,2023-07-27T23:26:20Z,2,As aulas onlines da unip são boas??
2,Herick Feu,2023-07-27T00:35:13Z,2023-07-27T00:35:13Z,2,"Eu me matriculei na Unip no curso de Farmácia, queria saber se é obrigatório a presença em todas as aulas no polo, no caso de segunda a quinta."
3,Ramon,2023-06-22T16:23:13Z,2023-06-22T16:23:13Z,0,"Vou fazer minha matrícula dia 26 curso de administração, tô meio apreensivo, mas vai que dá certo, pois é muito longe"
4,l believe oficial,2023-05-06T15:59:03Z,2023-05-06T15:59:03Z,1,"TENHO TANTO MEDO DE FAZER NESSA INSTITUIÇÃO, PORQUE ALGUNS FALA MAL E TENHO MEDO DE NÃO TER AULAS PRÁTICAS SUFICIENTES.  PODE ME AJUDAR? ESSAS AULAS SAO QUANTAS DIAS NA SEMANA PRA IR NO POLO ."
5,Leonardo,2023-04-18T00:07:01Z,2023-04-18T00:07:01Z,1,Moço vc entrou na UNIP pelo o Prouni ou não??
6,LUKETEXP,2023-03-26T13:03:39Z,2023-03-26T13:03:39Z,0,Na modalidade EAD é de segunda a quinta? Kk
7,kakau Soares,2023-03-22T02:15:47Z,2023-03-22T02:15:47Z,1,"Olá, tudo bem? gostaria de saber qual modalidade voce fez ?<br>ead? semi?"
8,Raio de SOL Diversões,2023-03-03T18:27:00Z,2023-03-03T18:27:00Z,0,"O ProUni está disponível fisioterapia EAD, será se tem aulas práticas também?"
9,Leide Brito,2023-03-02T07:07:19Z,2023-03-02T07:07:19Z,7,"Eu fiz Pedagogia na Unip, não me arrependendo, agora faço Fisioterapia na mesma, me formo ano q vem, estou super feliz pq estou estagiando em um hospital onde bou ser contratada após o curso, lá vou fazer residência, p quem não sabe residência é os 2 anos necessários no começo da carreira."
