,author,published,uploaded,likes,text
0,Ediany Moura,2023-11-24T16:57:19Z,2023-11-24T16:57:19Z,0,"Esse vídeo é muito cirúrgico e necessário. Achei que essas dificuldades só eu enxergava. Enfim, não recomendo a Unip pra ninguém."
1,William Jhones,2023-11-18T14:03:37Z,2023-11-18T14:03:37Z,0,Passei por tudo isso que vc citou.<br>É uma porcaria essa faculdade.
2,William Jhones,2023-11-18T14:02:02Z,2023-11-18T14:02:02Z,0,"Faz quase 6 anos que estou tentando me forma em Ed.Física.<br>A faculdade péssima,deixa o aluno sem acompanhamento e o polo presencial não ajuda em nada."
3,Rafael Carvalho,2023-11-09T02:24:50Z,2023-11-09T02:24:50Z,0,"Meu curso é de enfermagem é uma porcaria, professores muito ruins, aulas mal dadas, reprovam de proposito"
4,Estudante,2023-11-05T13:13:03Z,2023-11-05T13:14:13Z,1,"Preço x Qualidade, não tem como ser barato e bom! Fiquem ligados! Existem muitos professores bons, mas eles custam caro. Essas Instituições querem apenas lucrar. Eu estudo na UNIBF, mas tenho formação na Federal, a diferença é gigantesca! O nível de ensino de uma Universidade Federal é muito melhor. Eu decidi fazer uma segunda Graduação para passar o tempo, mas não tá valendo a pena! Entrei aqui pq tô pensando em transferir para outra, mas pelo que tô vendo vou perder o meu tempo."
5,THEPH01,2023-11-02T14:50:47Z,2023-11-02T14:50:47Z,0,alguem fazendo ADS na na unip sabe me informar se e boa
6,mafeaide,2023-10-30T18:40:05Z,2023-10-30T18:40:05Z,0,Alguém tendo dificuldades financeiras com a UNIP?
7,Roseane Rocha,2023-10-26T13:33:54Z,2023-10-26T13:36:57Z,0,"Sou bolsista do ProUni e fiz 2 semestres de ADM e achei péssimo tbm. Saí, consegui me inscrever em outra instituição e assim me encontro. O conteúdo antigo das aulas gravadas, o formato do portal são horríveis. Não recomendo pra ngm!"
8,Robson Costa,2023-10-19T20:49:04Z,2023-10-19T20:49:04Z,0,"Fiz licenciatura em Matemática (2017) e em Física (2019) ambos pela UNIP. Gostei dos cursos e meu Polo era top!<br> As disciplinas de Prática de Ensino foram ótimas. Sobre os estágios, eu tive a sorte que a escola onde estagiei tinha ensino fundamental e médio e também a modalidade de EJA (fundamental 2 e médio). A documentação tanto de convênio de estágio quanto de comprovação deve ser feita com muita atenção."
9,Felix Data Engineer,2023-10-12T12:59:05Z,2023-10-12T12:59:05Z,3,"Cara  realmente é isso que  estou  passando atualmente. Faço ciências da computação EAD E É UM LIXO, penso em sair do  EAD e ir para o presencial na UNIP, as vezes penso em até trocar a faculdade mas não compensa par min, vou perder ainda mais tempo."
