,author,published,uploaded,likes,text
0,Maria Patricia,2023-11-19T03:07:34Z,2023-11-19T03:07:34Z,0,Nossa eu amo a pedagogia só de falar e pretendo fazer em 2024 se Deus quiser.
1,strong boy,2023-10-12T18:01:25Z,2023-10-12T18:01:25Z,0,A unip É UM LIXO!
2,João Vitor de Sousa Silva,2023-10-03T04:35:39Z,2023-10-03T04:35:39Z,0,as provas e presencial?
3,elizangela elizangela,2023-08-28T01:04:56Z,2023-08-28T01:04:56Z,0,Vou fazer próximo ano estou com medo.
4,Viviane Lopes,2023-07-19T00:01:30Z,2023-07-19T00:01:30Z,0,"Estou ansiosa, vou iniciar pedagogia no senac ead em agosto. Obrigada pelo seu vídeo me ajudou bastante 😊"
5,Mary rosa,2023-07-18T01:37:59Z,2023-07-18T01:37:59Z,0,"Boa noite lindona, acabei de chegar e já amei o vídeo, queria saber quais matérias de pedagogia que mais cai em concursos público ?"
6,Josué Barbosa,2023-07-05T01:09:45Z,2023-07-05T01:09:45Z,0,"Eu tou querendo fazer pedagogia, é difícil. O meu sonho é ensinar do 1 ao 5 ano."
7,Alessandra Paula,2023-06-30T01:41:41Z,2023-06-30T01:41:41Z,0,VC pode faz vídeo 2° semestre de pedagogia EAD
8,Valquíria Inastoque da Silva,2023-06-11T22:47:57Z,2023-06-11T22:47:57Z,0,Eu tô com dificuldade demais faço a distância eu tô nasp não tenho grupo pra fazer trabalho junto sentindo vontade Pará
9,Rayssa Martins ,2023-04-20T20:21:27Z,2023-04-20T20:21:27Z,0,Começando hj na UNIP em EAD
