,author,published,uploaded,likes,text
0,Maria Kim,2023-10-13T01:38:29Z,2023-10-13T02:12:17Z,2,"Ja faz 1 semana q fiz a prova, o resultado das q eram multipla escolha já sairam, mas a unica q tinha questões discursivas ainda não, isso é normal?"
1,Dayane Duarte,2023-04-17T16:43:20Z,2023-04-17T16:43:20Z,1,"Eu quero fazer fisioterapia , eu soube que tem uma redação pra fazer na unip depois da incricao será que é difícil de fazer ? Ou será que e a mesma prova que vc disse, são essas provas aí que vou ter enfrentar"
2,Julio Cezar Nascimento,2023-03-28T22:57:27Z,2023-03-28T22:57:27Z,1,Estou cursando empreendedorismo alguém?
3,Crislandya Santtos,2022-12-12T14:52:43Z,2022-12-12T14:52:43Z,1,A mesma questão discursiva que caiu na prova se repete na prova exame?
4,Positively,2022-11-05T02:33:15Z,2022-11-05T02:33:32Z,1,"Peguei DP em matemática, e provavelmente não vou conseguir passar nessa disciplina de novo, pois tenho muita dificuldade, neste caso, vou para mais uma DP da mesma disciplina?"
5,Ana Paula Franco Olaf,2022-11-05T01:43:16Z,2022-11-05T01:43:16Z,2,Eu estou no 3 semestre e lutando p vencer mais esse semestre. Tem prova que é p entrar na NASA.
6,Ana Paula Franco Olaf,2022-11-05T01:42:21Z,2022-11-05T01:42:21Z,1,Vc poderia fazer vídeo c as provas monstro da Unip.
7,Ana Paula Franco Olaf,2022-11-05T01:41:31Z,2022-11-05T01:41:31Z,1,Legal mesmo. Parabéns 👏
8,Claudia Siqueira,2022-10-18T02:53:43Z,2022-10-18T02:53:43Z,1,"Parabéns pelo seu empenho sempre esclarecendo!  por favor você poderia me dar uma dica como fazer um relatório de permanência estudantil? concessão de bolsa de estudo, desde de já agradeço sua ajuda!"
9,Claudio Adriano Melo,2022-10-08T14:59:33Z,2022-10-08T14:59:33Z,2,"Parabéns vc sempre tirando às dúvidas e ajudando às pessoas q fazem parte d sua área d estudo vc além d um profissional preparado e tbem um amigo 👦 d todos q estão em seu canal,  brilhe sempre porque sua luz é única. Abraços"
