,author,published,uploaded,likes,text
0,Pensando Hoje,2021-09-12T16:55:10Z,2021-09-12T16:55:10Z,5,"👉Consiga uma bolsa de 80% no Amigo EDU, use o link: <a href=""https://pensandohoje.com.br/amigo-edu"">https://pensandohoje.com.br/amigo-edu</a> Use o cupom RODR1405 e receba 25% de desconto na taxa da sua bolsa do Amigo Edu!"
1,Julius Souza,2023-10-24T20:35:59Z,2023-10-24T20:35:59Z,0,"Olá, alguém aí sabe me dizer sobre a Unip Análise e desenvolvimento de Sistemas se tem que fazer TCC?"
2,Carlos Alberto,2023-10-19T19:22:41Z,2023-10-19T19:22:41Z,0,"Media pra passar na unip é 7, plataforma complicado de mexer,  as vezes da uns bugs"
3,Israel Pablo Coelho,2023-09-23T21:03:37Z,2023-09-23T21:03:37Z,0,"Plataforma EAD horrível, professores mediocres, interface bugada e pobre, instruções ruins, aulas ruins, e por aí vai. Uma péssima universidade."
4,Ednalda Marques,2023-07-12T23:51:38Z,2023-07-12T23:51:38Z,0,Fiz Administração um semestre estou saindo para cursar na Uninter
5,Gabriel Guilherme,2023-06-07T19:26:57Z,2023-06-07T19:26:57Z,0,eu sou aluno da unip não faça aula la ela e ruin como aluno eu corfimo isso
6,Letícia M.,2023-05-21T18:46:11Z,2023-05-21T18:46:11Z,2,"O pessoal tem que entender que Unip principalmente a Ead é pra quem quer apenas o diploma! Geralmente o pessoal que já trabalha e não tem tempo pra ficar estudando (meu caso) então pra essas pessoas eu recomendo a Unip, agora pra quem quer fazer faculdade por gosto, estudar mesmo etc então melhor procurar uma pública no presencial."
7,Tatiane Souza,2023-04-22T21:34:25Z,2023-04-22T21:34:39Z,1,Já estudei na unip é umas das piores faculdades do Brasil não  a concelho ninguém estuda lá nem presencial nem EAD
8,🌻yume🌹,2023-04-17T02:02:02Z,2023-04-17T02:02:02Z,0,Tem Unip Universidade Paulista e tem a Unip Universidade Paulista Aqui você pode qual a diferença?
9,🌻yume🌹,2023-04-17T01:58:22Z,2023-04-17T01:58:22Z,1,E agora em 2023
